keys,en,de,fr
XSTR_24,Director of Quality Assurance,(gr)Director of Quality Assurance,(fr)Director of Quality Assurance
XSTR_25,QA Managers,(gr)QA Managers,(fr)QA Managers
XSTR_26,Director of Compatibility,(gr)Director of Compatibility,(fr)Director of Compatibility
XSTR_27,IS/Compatibility Manager,(gr)IS/Compatibility Manager,(fr)IS/Compatibility Manager
XSTR_28,QA Project Supervisor,(gr)QA Project Supervisor,(fr)QA Project Supervisor
XSTR_29,Assisting QA Project Supervisors,(gr)Assisting QA Project Supervisors,(fr)Assisting QA Project Supervisors
XSTR_30,Compatibility Technicians,(gr)Compatibility Technicians,(fr)Compatibility Technicians
XSTR_31,Silent Threat Testers,(gr)Silent Threat Testers,(fr)Silent Threat Testers
XSTR_32,Senior IS Technician,(gr)Senior IS Technician,(fr)Senior IS Technician
XSTR_33,IS Technicians,(gr)IS Technicians,(fr)IS Technicians
XSTR_34,Director Of Marketing,(gr)Director Of Marketing,(fr)Director Of Marketing
XSTR_35,Product Marketing Managers,(gr)Product Marketing Managers,(fr)Product Marketing Managers
XSTR_36,Communications Manager,(gr)Communications Manager,(fr)Communications Manager
XSTR_37,Traffic Manager,(gr)Traffic Manager,(fr)Traffic Manager
XSTR_38,Package Design,(gr)Package Design,(fr)Package Design
XSTR_40,The ancients discover subspace and begin their empire.,(gr)The ancients discover subspace and begin their empire.,(fr)The ancients discover subspace and begin their empire.
XSTR_43,Strange and powerful forces attack the ancients.,(gr)Strange and powerful forces attack the ancients.,(fr)Strange and powerful forces attack the ancients.
XSTR_45,The ancients begin their final struggle.,(gr)The ancients begin their final struggle.,(fr)The ancients begin their final struggle.
XSTR_46,The ancients understand their destruction.,(gr)The ancients understand their destruction.,(fr)The ancients understand their destruction.
XSTR_49,For having attained an outstanding number of confirmed kills you are hereby awarded the Ace.,(gr)For having attained an outstanding number of confirmed kills you are hereby awarded the Ace.,(fr)For having attained an outstanding number of confirmed kills you are hereby awarded the Ace.
XSTR_50,"For your fine accomplishments as a skilled pilot and for your considerable number of enemy kills, it is an honor to present you the Double Ace.","(gr)For your fine accomplishments as a skilled pilot and for your considerable number of enemy kills, it is an honor to present you the Double Ace.","(fr)For your fine accomplishments as a skilled pilot and for your considerable number of enemy kills, it is an honor to present you the Double Ace."
XSTR_51,"For your truly impressive ability as a pilot and for the exceptional number of confirmed enemy kills, it is a rare honor to present you the Triple Ace.  Few pilots are so distinguished.","(gr)For your truly impressive ability as a pilot and for the exceptional number of confirmed enemy kills, it is a rare honor to present you the Triple Ace.  Few pilots are so distinguished.","(fr)For your truly impressive ability as a pilot and for the exceptional number of confirmed enemy kills, it is a rare honor to present you the Triple Ace.  Few pilots are so distinguished."
XSTR_52,Is that the best they can do?,(gr)Is that the best they can do?,(fr)Is that the best they can do?
XSTR_53,Radar's clean and clear.,(gr)Radar's clean and clear.,(fr)Radar's clean and clear.
XSTR_54,Glad that's over.,(gr)Glad that's over.,(fr)Glad that's over.
XSTR_55,Area secured.,(gr)Area secured.,(fr)Area secured.
XSTR_56,I think that's all of them.,(gr)I think that's all of them.,(fr)I think that's all of them.
XSTR_57,Enemy wing just arrived!,(gr)Enemy wing just arrived!,(fr)Enemy wing just arrived!
XSTR_58,Heads up we have company!,(gr)Heads up we have company!,(fr)Heads up we have company!
XSTR_59,"Heads up, we've got visitors!","(gr)Heads up, we've got visitors!","(fr)Heads up, we've got visitors!"
XSTR_60,New bandits in the area.,(gr)New bandits in the area.,(fr)New bandits in the area.
XSTR_61,New hostiles in the area!,(gr)New hostiles in the area!,(fr)New hostiles in the area!
XSTR_62,Enemy presence detected.,(gr)Enemy presence detected.,(fr)Enemy presence detected.
XSTR_63,Enemy wing has just arrived!,(gr)Enemy wing has just arrived!,(fr)Enemy wing has just arrived!
XSTR_64,Breaking to attack!,(gr)Breaking to attack!,(fr)Breaking to attack!
XSTR_65,"Affirmative Sir, attacking your target!","(gr)Affirmative Sir, attacking your target!","(fr)Affirmative Sir, attacking your target!"
XSTR_66,Attacking your target!,(gr)Attacking your target!,(fr)Attacking your target!
XSTR_67,Attacking now Sir.,(gr)Attacking now Sir.,(fr)Attacking now Sir.
XSTR_68,Target aquired.,(gr)Target aquired.,(fr)Target aquired.
XSTR_69,Reinforcements awaiting orders.,(gr)Reinforcements awaiting orders.,(fr)Reinforcements awaiting orders.
XSTR_70,"Reinforcements here Sir, awaiting orders.","(gr)Reinforcements here Sir, awaiting orders.","(fr)Reinforcements here Sir, awaiting orders."
XSTR_71,Reinforcements here Sir.,(gr)Reinforcements here Sir.,(fr)Reinforcements here Sir.
XSTR_72,"Beta wing has arrived, awaiting orders.","(gr)Beta wing has arrived, awaiting orders.","(fr)Beta wing has arrived, awaiting orders."
XSTR_73,Beta wing has arrived.,(gr)Beta wing has arrived.,(fr)Beta wing has arrived.
XSTR_74,You've got a bogie on your tail!,(gr)You've got a bogie on your tail!,(fr)You've got a bogie on your tail!
XSTR_75,Check your six pilot!,(gr)Check your six pilot!,(fr)Check your six pilot!
XSTR_76,Fighter on your tail Sir!,(gr)Fighter on your tail Sir!,(fr)Fighter on your tail Sir!
XSTR_77,Watch your back Sir!,(gr)Watch your back Sir!,(fr)Watch your back Sir!
XSTR_78,Aaaaaaaah!!!,(gr)Aaaaaaaah!!!,(fr)Aaaaaaaah!!!
XSTR_79,Noooooooo!!!,(gr)Noooooooo!!!,(fr)Noooooooo!!!
XSTR_80,Damn it!!,(gr)Damn it!!,(fr)Damn it!!
XSTR_81,Nooooooooo!!!,(gr)Nooooooooo!!!,(fr)Nooooooooo!!!
XSTR_82,Our flame will not be extinguished!,(gr)Our flame will not be extinguished!,(fr)Our flame will not be extinguished!
XSTR_83,"Delta wing has arrived, awaiting orders.","(gr)Delta wing has arrived, awaiting orders.","(fr)Delta wing has arrived, awaiting orders."
XSTR_84,"Yes Sir, leaving battle area.","(gr)Yes Sir, leaving battle area.","(fr)Yes Sir, leaving battle area."
XSTR_85,I'm outta here.,(gr)I'm outta here.,(fr)I'm outta here.
XSTR_86,Subspace node activated.,(gr)Subspace node activated.,(fr)Subspace node activated.
XSTR_87,"That's affirmative Sir, departing now.","(gr)That's affirmative Sir, departing now.","(fr)That's affirmative Sir, departing now."
XSTR_88,"Roger Sir, entering subspace.","(gr)Roger Sir, entering subspace.","(fr)Roger Sir, entering subspace."
XSTR_89,Entering subspace.,(gr)Entering subspace.,(fr)Entering subspace.
XSTR_90,"Roger, disabling your target.","(gr)Roger, disabling your target.","(fr)Roger, disabling your target."
XSTR_91,"Yes Sir, disabling target.","(gr)Yes Sir, disabling target.","(fr)Yes Sir, disabling target."
XSTR_92,"Affirmative, targeting the engine.","(gr)Affirmative, targeting the engine.","(fr)Affirmative, targeting the engine."
XSTR_93,"Affirmative, targeting the engines.","(gr)Affirmative, targeting the engines.","(fr)Affirmative, targeting the engines."
XSTR_94,"Affirmative Sir, disarming your target.","(gr)Affirmative Sir, disarming your target.","(fr)Affirmative Sir, disarming your target."
XSTR_95,Disarming target Sir.,(gr)Disarming target Sir.,(fr)Disarming target Sir.
XSTR_96,"Roger Sir, disarming your target.","(gr)Roger Sir, disarming your target.","(fr)Roger Sir, disarming your target."
XSTR_97,"Affirmative, disarming your target.","(gr)Affirmative, disarming your target.","(fr)Affirmative, disarming your target."
XSTR_98,Engaging enemy.,(gr)Engaging enemy.,(fr)Engaging enemy.
XSTR_99,Engaging now Sir.,(gr)Engaging now Sir.,(fr)Engaging now Sir.
XSTR_100,Breaking to attack.,(gr)Breaking to attack.,(fr)Breaking to attack.
XSTR_101,"Epsilon wing has arrived, awaiting orders.","(gr)Epsilon wing has arrived, awaiting orders.","(fr)Epsilon wing has arrived, awaiting orders."
XSTR_102,Epsilon wing has arrived.,(gr)Epsilon wing has arrived.,(fr)Epsilon wing has arrived.
XSTR_103,"Gamma Wing has arrived, awaiting orders.","(gr)Gamma Wing has arrived, awaiting orders.","(fr)Gamma Wing has arrived, awaiting orders."
XSTR_104,Gamma Wing has arrived.,(gr)Gamma Wing has arrived.,(fr)Gamma Wing has arrived.
XSTR_105,"Taking damage, request cover!","(gr)Taking damage, request cover!","(fr)Taking damage, request cover!"
XSTR_106,Could one of you flyboys give me some cover?,(gr)Could one of you flyboys give me some cover?,(fr)Could one of you flyboys give me some cover?
XSTR_107,Hull taking serious damage!,(gr)Hull taking serious damage!,(fr)Hull taking serious damage!
XSTR_108,"I'm losing systems, help me out!","(gr)I'm losing systems, help me out!","(fr)I'm losing systems, help me out!"
XSTR_109,Taking severe damage.,(gr)Taking severe damage.,(fr)Taking severe damage.
XSTR_110,"Yes Sir, disregarding target.","(gr)Yes Sir, disregarding target.","(fr)Yes Sir, disregarding target."
XSTR_111,"Roger Sir, ignoring your target.","(gr)Roger Sir, ignoring your target.","(fr)Roger Sir, ignoring your target."
XSTR_112,Roger disregarding your target.,(gr)Roger disregarding your target.,(fr)Roger disregarding your target.
XSTR_113,"Yes Sir, ignoring target.","(gr)Yes Sir, ignoring target.","(fr)Yes Sir, ignoring target."
XSTR_114,Ignoring target.,(gr)Ignoring target.,(fr)Ignoring target.
XSTR_115,"Sorry Sir, I can't do that.","(gr)Sorry Sir, I can't do that.","(fr)Sorry Sir, I can't do that."
XSTR_116,Not here Sir.,(gr)Not here Sir.,(fr)Not here Sir.
XSTR_117,I cannot comply Sir.,(gr)I cannot comply Sir.,(fr)I cannot comply Sir.
XSTR_118,Cannot comply Sir.,(gr)Cannot comply Sir.,(fr)Cannot comply Sir.
XSTR_119,No can do Sir.,(gr)No can do Sir.,(fr)No can do Sir.
XSTR_120,I cannot do that.,(gr)I cannot do that.,(fr)I cannot do that.
XSTR_121,Select a target Sir!,(gr)Select a target Sir!,(fr)Select a target Sir!
XSTR_122,You have nothing targeted Sir.,(gr)You have nothing targeted Sir.,(fr)You have nothing targeted Sir.
XSTR_123,Which target Sir?,(gr)Which target Sir?,(fr)Which target Sir?
XSTR_124,Target? What target?,(gr)Target? What target?,(fr)Target? What target?
XSTR_125,We require target data.,(gr)We require target data.,(fr)We require target data.
XSTR_126,Cease firing on friendly craft.,(gr)Cease firing on friendly craft.,(fr)Cease firing on friendly craft.
XSTR_127,Aim at the hostiles pilot.,(gr)Aim at the hostiles pilot.,(fr)Aim at the hostiles pilot.
XSTR_128,I'm on your side pilot.,(gr)I'm on your side pilot.,(fr)I'm on your side pilot.
XSTR_129,"Damn it, don't shoot me.","(gr)Damn it, don't shoot me.","(fr)Damn it, don't shoot me."
XSTR_130,"Hey, I'm on your side pilot.","(gr)Hey, I'm on your side pilot.","(fr)Hey, I'm on your side pilot."
XSTR_131,Firing upon us negates the treaty Terran.,(gr)Firing upon us negates the treaty Terran.,(fr)Firing upon us negates the treaty Terran.
XSTR_132,You are firing on friendly targets pilot.,(gr)You are firing on friendly targets pilot.,(fr)You are firing on friendly targets pilot.
XSTR_133,Ship down! Ship down!,(gr)Ship down! Ship down!,(fr)Ship down! Ship down!
XSTR_134,"Alpha one, please respond!","(gr)Alpha one, please respond!","(fr)Alpha one, please respond!"
XSTR_135,We've lost Alpha 1!,(gr)We've lost Alpha 1!,(fr)We've lost Alpha 1!
XSTR_136,Alpha one is down!,(gr)Alpha one is down!,(fr)Alpha one is down!
XSTR_137,We've lost a friendly.,(gr)We've lost a friendly.,(fr)We've lost a friendly.
XSTR_138,"The blood you draw, is your own!!","(gr)The blood you draw, is your own!!","(fr)The blood you draw, is your own!!"
XSTR_139,Great shot!,(gr)Great shot!,(fr)Great shot!
XSTR_140,Good kill!,(gr)Good kill!,(fr)Good kill!
XSTR_141,Impressive pilot!,(gr)Impressive pilot!,(fr)Impressive pilot!
XSTR_142,Excellent job pilot!,(gr)Excellent job pilot!,(fr)Excellent job pilot!
XSTR_143,Impressive for a Terran.,(gr)Impressive for a Terran.,(fr)Impressive for a Terran.
XSTR_144,I'm out of missles! Calling in a support ship!,(gr)I'm out of missles! Calling in a support ship!,(fr)I'm out of missles! Calling in a support ship!
XSTR_145,I need to rearm! Calling in a support ship.,(gr)I need to rearm! Calling in a support ship.,(fr)I need to rearm! Calling in a support ship.
XSTR_146,I need to rearm! Calling in some support.,(gr)I need to rearm! Calling in some support.,(fr)I need to rearm! Calling in some support.
XSTR_147,I need to rearm.,(gr)I need to rearm.,(fr)I need to rearm.
XSTR_148,"I need to rearm, calling in support.","(gr)I need to rearm, calling in support.","(fr)I need to rearm, calling in support."
XSTR_149,"Weapons array diminished, Calling in for support.","(gr)Weapons array diminished, Calling in for support.","(fr)Weapons array diminished, Calling in for support."
XSTR_150,"Sir, calling in for repair!","(gr)Sir, calling in for repair!","(fr)Sir, calling in for repair!"
XSTR_151,"Taking heavy damage, need to repair.","(gr)Taking heavy damage, need to repair.","(fr)Taking heavy damage, need to repair."
XSTR_152,"This crate's about to blow, calling in for support.","(gr)This crate's about to blow, calling in for support.","(fr)This crate's about to blow, calling in for support."
XSTR_153,Sir I need a repair ship.,(gr)Sir I need a repair ship.,(fr)Sir I need a repair ship.
XSTR_154,"This crate's about to blow, calling in for repair!","(gr)This crate's about to blow, calling in for repair!","(fr)This crate's about to blow, calling in for repair!"
XSTR_155,Your straying too far from mission objectives!,(gr)Your straying too far from mission objectives!,(fr)Your straying too far from mission objectives!
XSTR_156,Where are you going pilot?,(gr)Where are you going pilot?,(fr)Where are you going pilot?
XSTR_157,Where are you going Terran?,(gr)Where are you going Terran?,(fr)Where are you going Terran?
XSTR_158,You'll pay for that traitor.,(gr)You'll pay for that traitor.,(fr)You'll pay for that traitor.
XSTR_159,You'll pay for your treason pilot.,(gr)You'll pay for your treason pilot.,(fr)You'll pay for your treason pilot.
XSTR_160,You will pay for your treason pilot.,(gr)You will pay for your treason pilot.,(fr)You will pay for your treason pilot.
XSTR_161,You have tested our patience long enough Terran.,(gr)You have tested our patience long enough Terran.,(fr)You have tested our patience long enough Terran.
XSTR_162,"All Terran pilots, shoot to kill Alpha One.","(gr)All Terran pilots, shoot to kill Alpha One.","(fr)All Terran pilots, shoot to kill Alpha One."
XSTR_163,Affirmative Sir.,(gr)Affirmative Sir.,(fr)Affirmative Sir.
XSTR_164,I'm on it.,(gr)I'm on it.,(fr)I'm on it.
XSTR_165,Roger that Sir.,(gr)Roger that Sir.,(fr)Roger that Sir.
XSTR_166,Yes Sir.,(gr)Yes Sir.,(fr)Yes Sir.
XSTR_167,As you wish.,(gr)As you wish.,(fr)As you wish.
XSTR_168,"Roger Sir, on our way.","(gr)Roger Sir, on our way.","(fr)Roger Sir, on our way."
XSTR_169,"We're already on our way, Sir.","(gr)We're already on our way, Sir.","(fr)We're already on our way, Sir."
XSTR_170,Support ship being deployed.,(gr)Support ship being deployed.,(fr)Support ship being deployed.
XSTR_171,"Rearming complete, Sir.","(gr)Rearming complete, Sir.","(fr)Rearming complete, Sir."
XSTR_172,Rearming sequence aborted.,(gr)Rearming sequence aborted.,(fr)Rearming sequence aborted.
XSTR_173,Support has been destroyed.,(gr)Support has been destroyed.,(fr)Support has been destroyed.
XSTR_174,Alpha1 your all alone. No reinforcements available.,(gr)Alpha1 your all alone. No reinforcements available.,(fr)Alpha1 your all alone. No reinforcements available.
XSTR_175,Have you lost your mind?  Training is terminated!  Return to base.,(gr)Have you lost your mind?  Training is terminated!  Return to base.,(fr)Have you lost your mind?  Training is terminated!  Return to base.
XSTR_176,You are ordered to return at once pilot.,(gr)You are ordered to return at once pilot.,(fr)You are ordered to return at once pilot.
XSTR_177,"Pilot, you are being removed from battle because of your insubordination.","(gr)Pilot, you are being removed from battle because of your insubordination.","(fr)Pilot, you are being removed from battle because of your insubordination."
XSTR_178,"Dang, you're still an ensign!  You must have gotten busted!","(gr)Dang, you're still an ensign!  You must have gotten busted!","(fr)Dang, you're still an ensign!  You must have gotten busted!"
XSTR_179,Congratulations.  Your achievements have been noted and you are duly awarded the rank Lieutenant Junior Grade.,(gr)Congratulations.  Your achievements have been noted and you are duly awarded the rank Lieutenant Junior Grade.,(fr)Congratulations.  Your achievements have been noted and you are duly awarded the rank Lieutenant Junior Grade.
XSTR_180,Per GTAR 64-2a you are hereby promoted to the rank of Lieutenant.  Congratulations.,(gr)Per GTAR 64-2a you are hereby promoted to the rank of Lieutenant.  Congratulations.,(fr)Per GTAR 64-2a you are hereby promoted to the rank of Lieutenant.  Congratulations.
XSTR_181,"Congratulations, your achievements have been noted and you are duly awarded the rank of Lieutenant Commander.","(gr)Congratulations, your achievements have been noted and you are duly awarded the rank of Lieutenant Commander.","(fr)Congratulations, your achievements have been noted and you are duly awarded the rank of Lieutenant Commander."
XSTR_182,"Because of your consistent sense of duty and obvious skill as a leader, you have been promoted to the rank of Commander.","(gr)Because of your consistent sense of duty and obvious skill as a leader, you have been promoted to the rank of Commander.","(fr)Because of your consistent sense of duty and obvious skill as a leader, you have been promoted to the rank of Commander."
XSTR_183,For displaying a commanding nature and the ability to lead others you are hereby promoted to Captain.  Congratulations!,(gr)For displaying a commanding nature and the ability to lead others you are hereby promoted to Captain.  Congratulations!,(fr)For displaying a commanding nature and the ability to lead others you are hereby promoted to Captain.  Congratulations!
XSTR_184,"For outstanding service through the war, leading many successful missions, and promoting a sense of honor and pride in the Alliance you have been promoted to the rank of Commodore. ","(gr)For outstanding service through the war, leading many successful missions, and promoting a sense of honor and pride in the Alliance you have been promoted to the rank of Commodore. ","(fr)For outstanding service through the war, leading many successful missions, and promoting a sense of honor and pride in the Alliance you have been promoted to the rank of Commodore. "
XSTR_185,"We aren't sure how you've done it, but you are hereby promoted to the prestigious rank of Rear Admiral.  (We think you cheated.)","(gr)We aren't sure how you've done it, but you are hereby promoted to the prestigious rank of Rear Admiral.  (We think you cheated.)","(fr)We aren't sure how you've done it, but you are hereby promoted to the prestigious rank of Rear Admiral.  (We think you cheated.)"
XSTR_186,You really must have cheated to get this rank!  Do you want to sit behind a desk or something?  That is what Vice Admirals do.,(gr)You really must have cheated to get this rank!  Do you want to sit behind a desk or something?  That is what Vice Admirals do.,(fr)You really must have cheated to get this rank!  Do you want to sit behind a desk or something?  That is what Vice Admirals do.
XSTR_188,Advanced Space Superiority,(gr)Advanced Space Superiority,(fr)Advanced Space Superiority
XSTR_189,Excellent,(gr)Excellent,(fr)Excellent
XSTR_190,Light,(gr)Light,(fr)Light
XSTR_191,Triton Dynamics,(gr)Triton Dynamics,(fr)Triton Dynamics
XSTR_193,"Developed in a joint operation by the Vasudan and Terran governments, the GTF Ulysses is an Excellent all-around fighter.  It offers superior maneuverability and a high top speed.","(gr)Developed in a joint operation by the Vasudan and Terran governments, the GTF Ulysses is an Excellent all-around fighter.  It offers superior maneuverability and a high top speed.","(fr)Developed in a joint operation by the Vasudan and Terran governments, the GTF Ulysses is an Excellent all-around fighter.  It offers superior maneuverability and a high top speed."
XSTR_194,Space Superiority,(gr)Space Superiority,(fr)Space Superiority
XSTR_195,Fair,(gr)Fair,(fr)Fair
XSTR_196,Medium,(gr)Medium,(fr)Medium
XSTR_197,Han-Ronald Corp.,(gr)Han-Ronald Corp.,(fr)Han-Ronald Corp.
XSTR_199,"The Apollo is the most common GTA fighter.  It is highly versatile and can perform multiple roles, including space superiority, interception and assault.","(gr)The Apollo is the most common GTA fighter.  It is highly versatile and can perform multiple roles, including space superiority, interception and assault.","(fr)The Apollo is the most common GTA fighter.  It is highly versatile and can perform multiple roles, including space superiority, interception and assault."
XSTR_200,Interceptor,(gr)Interceptor,(fr)Interceptor
XSTR_201,Good,(gr)Good,(fr)Good
XSTR_203,"Using the old GTF Angel Scout Fighter as a template, the GTA created the Valkyrie Interceptor Fighter.  It has two additional engines, as well as an additional set of primary hardpoints.  This makes the Valkyrie the best bomber interceptor in the fleet.  Its speed is unmatched in the GTA, and its maneuverability is above average.  Its only drawbacks are a small secondary payload and weak hull.","(gr)Using the old GTF Angel Scout Fighter as a template, the GTA created the Valkyrie Interceptor Fighter.  It has two additional engines, as well as an additional set of primary hardpoints.  This makes the Valkyrie the best bomber interceptor in the fleet.  Its speed is unmatched in the GTA, and its maneuverability is above average.  Its only drawbacks are a small secondary payload and weak hull.","(fr)Using the old GTF Angel Scout Fighter as a template, the GTA created the Valkyrie Interceptor Fighter.  It has two additional engines, as well as an additional set of primary hardpoints.  This makes the Valkyrie the best bomber interceptor in the fleet.  Its speed is unmatched in the GTA, and its maneuverability is above average.  Its only drawbacks are a small secondary payload and weak hull."
XSTR_204,Heavy Assault,(gr)Heavy Assault,(fr)Heavy Assault
XSTR_205,Average,(gr)Average,(fr)Average
XSTR_206,Han-Ronald Corp,(gr)Han-Ronald Corp,(fr)Han-Ronald Corp
XSTR_208,"The Hercules is the slowest and most unmanageable fighter in the fleet.  This is offset, however, by its overpowering weaponry and shielding.  It carries 6 primary weapons, as well as two full secondary banks.  This heavy assault fighter is best suited for small target attacks and bomber escort.","(gr)The Hercules is the slowest and most unmanageable fighter in the fleet.  This is offset, however, by its overpowering weaponry and shielding.  It carries 6 primary weapons, as well as two full secondary banks.  This heavy assault fighter is best suited for small target attacks and bomber escort.","(fr)The Hercules is the slowest and most unmanageable fighter in the fleet.  This is offset, however, by its overpowering weaponry and shielding.  It carries 6 primary weapons, as well as two full secondary banks.  This heavy assault fighter is best suited for small target attacks and bomber escort."
XSTR_209,Recon,(gr)Recon,(fr)Recon
XSTR_210,High,(gr)High,(fr)High
XSTR_211,Low,(gr)Low,(fr)Low
XSTR_213,"Designed by GTI engineers, the Loki is undoubtedly the best reconaissance craft in Terran or Vasudan service.  Its hull shape and shielded reactor chamber lends itself to providing a low sensor profile, and is yet capable of very high speed maneuvers.  Its relatively light armament and low armor rating make it unsuitable for extended firefights, however.","(gr)Designed by GTI engineers, the Loki is undoubtedly the best reconaissance craft in Terran or Vasudan service.  Its hull shape and shielded reactor chamber lends itself to providing a low sensor profile, and is yet capable of very high speed maneuvers.  Its relatively light armament and low armor rating make it unsuitable for extended firefights, however.","(fr)Designed by GTI engineers, the Loki is undoubtedly the best reconaissance craft in Terran or Vasudan service.  Its hull shape and shielded reactor chamber lends itself to providing a low sensor profile, and is yet capable of very high speed maneuvers.  Its relatively light armament and low armor rating make it unsuitable for extended firefights, however."
XSTR_214,Light Bomber,(gr)Light Bomber,(fr)Light Bomber
XSTR_215,Dynamic Metamer,(gr)Dynamic Metamer,(fr)Dynamic Metamer
XSTR_217,"The smallest bomber in the fleet, the Athena has oftentimes been mistaken for a fighter.  However, one should not be fooled by its small size.  The Athena can carry light bombs, and most missiles.  It also has the ability to dogfight well.  Its strong shielding and hull make it the favored Lightning Bomber of the GTA.","(gr)The smallest bomber in the fleet, the Athena has oftentimes been mistaken for a fighter.  However, one should not be fooled by its small size.  The Athena can carry light bombs, and most missiles.  It also has the ability to dogfight well.  Its strong shielding and hull make it the favored Lightning Bomber of the GTA.","(fr)The smallest bomber in the fleet, the Athena has oftentimes been mistaken for a fighter.  However, one should not be fooled by its small size.  The Athena can carry light bombs, and most missiles.  It also has the ability to dogfight well.  Its strong shielding and hull make it the favored Lightning Bomber of the GTA."
XSTR_218,Heavy Bomber,(gr)Heavy Bomber,(fr)Heavy Bomber
XSTR_219,Poor,(gr)Poor,(fr)Poor
XSTR_220,Heavy,(gr)Heavy,(fr)Heavy
XSTR_222,"The Medusa is the standard attack bomber in the GTA.  Its strong shielding and large secondary capacity make it the favored attack craft against cruiser class targets.  As the first bomber to carry the Tsunami bomb, the Medusa is considered the staple of any bomber pilots career.","(gr)The Medusa is the standard attack bomber in the GTA.  Its strong shielding and large secondary capacity make it the favored attack craft against cruiser class targets.  As the first bomber to carry the Tsunami bomb, the Medusa is considered the staple of any bomber pilots career.","(fr)The Medusa is the standard attack bomber in the GTA.  Its strong shielding and large secondary capacity make it the favored attack craft against cruiser class targets.  As the first bomber to carry the Tsunami bomb, the Medusa is considered the staple of any bomber pilots career."
XSTR_223,Assault Bomber,(gr)Assault Bomber,(fr)Assault Bomber
XSTR_224,Very Poor,(gr)Very Poor,(fr)Very Poor
XSTR_226,The Ursa is the first bomber designed specifically for the purpose of annihilating capital ships.  It carries a massive payload and is the only bomber in the GTA which can equip the Harbinger Bomb.  Strong shielding and hull make the Ursa very difficult to destroy.,(gr)The Ursa is the first bomber designed specifically for the purpose of annihilating capital ships.  It carries a massive payload and is the only bomber in the GTA which can equip the Harbinger Bomb.  Strong shielding and hull make the Ursa very difficult to destroy.,(fr)The Ursa is the first bomber designed specifically for the purpose of annihilating capital ships.  It carries a massive payload and is the only bomber in the GTA which can equip the Harbinger Bomb.  Strong shielding and hull make the Ursa very difficult to destroy.
XSTR_227,Stealth Bomber,(gr)Stealth Bomber,(fr)Stealth Bomber
XSTR_229,"Another product of GTI R&D, the Zeus strike bomber is a worthy successor to the Athena.  It's balanced design and increased reactor capacity give it remarkable speed for a bomber, yet still remains capable of carrying the powerful Tsunami bombs.  These features will make the Zeus a versatile and effective weapon against capital ships.","(gr)Another product of GTI R&D, the Zeus strike bomber is a worthy successor to the Athena.  It's balanced design and increased reactor capacity give it remarkable speed for a bomber, yet still remains capable of carrying the powerful Tsunami bombs.  These features will make the Zeus a versatile and effective weapon against capital ships.","(fr)Another product of GTI R&D, the Zeus strike bomber is a worthy successor to the Athena.  It's balanced design and increased reactor capacity give it remarkable speed for a bomber, yet still remains capable of carrying the powerful Tsunami bombs.  These features will make the Zeus a versatile and effective weapon against capital ships."
XSTR_230,"The Amazon is a simple drone, used for basic combat training.  They are unmanned, and carry only the weakest of weaponry.","(gr)The Amazon is a simple drone, used for basic combat training.  They are unmanned, and carry only the weakest of weaponry.","(fr)The Amazon is a simple drone, used for basic combat training.  They are unmanned, and carry only the weakest of weaponry."
